Source	Bioentity ID	HGNC	GO Term	Reference	Evidence Type	Evidence With	Ontology Aspect	Gene Description	Synonyms	Type	Organism	Date	Source2
RGD	2898	Il4	GO:0060041	PMID:23070471|RGD:7829830	IEP		P	interleukin 4		gene	NCBITaxon:10116	20140128	RGD
RGD	621396	Rpe65	GO:0001895	RGD:1624291	ISO	RGD:732416	P	retinoid isomerohydrolase RPE65		gene	NCBITaxon:10116	20180123	RGD
RGD	621396	Rpe65	GO:0003407	PMID:2631392|RGD:9585660	IDA		P	retinoid isomerohydrolase RPE65		gene	NCBITaxon:10116	20140918	RGD
RGD	621396	Rpe65	GO:0004744	GO_REF:0000024|RGD:1600115	ISS	UniProtKB:Q91ZQ5	F	retinoid isomerohydrolase RPE65		gene	NCBITaxon:10116	20180127	UniProt
RGD	621396	Rpe65	GO:0004744	RGD:1624291	ISO	RGD:732417	F	retinoid isomerohydrolase RPE65		gene	NCBITaxon:10116	20180228	RGD
RGD	621396	Rpe65	GO:0042574	PMID:21785167|RGD:6893661	IMP		P	retinoid isomerohydrolase RPE65		gene	NCBITaxon:10116	20120917	RGD
RGD	621396	Rpe65	GO:0042574	RGD:1624291	ISO	RGD:732417	P	retinoid isomerohydrolase RPE65		gene	NCBITaxon:10116	20160512	RGD
RGD	621396	Rpe65	GO:0060041	RGD:1624291	ISO	RGD:732417	P	retinoid isomerohydrolase RPE65		gene	NCBITaxon:10116	20160512	RGD
RGD	621396	Rpe65	GO:0060042	RGD:1624291	ISO	RGD:732417	P	retinoid isomerohydrolase RPE65		gene	NCBITaxon:10116	20160512	RGD
RGD	1308718	Cib2	GO:0045494	GO_REF:0000024|RGD:1600115	ISS	UniProtKB:Q9Z309	P	calcium and integrin binding family member 2		gene	NCBITaxon:10116	20180127	UniProt
RGD	1308718	Cib2	GO:0045494	RGD:1624291	ISO	RGD:1318656	P	calcium and integrin binding family member 2		gene	NCBITaxon:10116	20180123	RGD
RGD	621305	Atp2b4	GO:0003407	PMID:16079002|RGD:2317729	IEP		P	ATPase plasma membrane Ca2+ transporting 4		gene	NCBITaxon:10116	20100419	RGD
RGD	1308712	Guca1a	GO:0120199	RGD:1624291	ISO	RGD:1318645	C	guanylate cyclase activator 1A		gene	NCBITaxon:10116	20200709	RGD
RGD	1308712	Guca1a	GO:0120199	RGD:1624291	ISO	RGD:30301436	C	guanylate cyclase activator 1A		gene	NCBITaxon:10116	20200709	RGD
RGD	1305568	Pax2	GO:0003406	GO_REF:0000024|RGD:1600115	ISS	UniProtKB:P32114	P	paired box 2		gene	NCBITaxon:10116	20180127	UniProt
RGD	1305568	Pax2	GO:0003406	RGD:1624291	ISO	RGD:1313674	P	paired box 2		gene	NCBITaxon:10116	20160512	RGD
RGD	620021	Ihh	GO:0003406	RGD:1624291	ISO	RGD:1552237	P	Indian hedgehog signaling molecule		gene	NCBITaxon:10116	20160512	RGD
RGD	620021	Ihh	GO:0060220	RGD:1624291	ISO	RGD:1552237	P	Indian hedgehog signaling molecule		gene	NCBITaxon:10116	20160512	RGD
RGD	620060	Hpca	GO:0060041	PMID:7789406|RGD:9686441	IEP		P	hippocalcin		gene	NCBITaxon:10116	20150209	RGD
RGD	3845	Tf	GO:0001895	PMID:23580065|RGD:9068941	ISO	RGD:1342593	P	transferrin		gene	NCBITaxon:10116	20200609	UniProtKB
RGD	3860	Thy1	GO:0046549	GO_REF:0000024|RGD:1600115	ISS	UniProtKB:P01831	P	Thy-1 cell surface antigen		gene	NCBITaxon:10116	20180127	UniProt
RGD	3860	Thy1	GO:0046549	RGD:1624291	ISO	RGD:11418	P	Thy-1 cell surface antigen		gene	NCBITaxon:10116	20180123	RGD
RGD	3860	Thy1	GO:0046549	PMID:21873635	IBA	MGI:MGI:98747|PANTHER:PTN000442448	P	Thy-1 cell surface antigen		gene	NCBITaxon:10116	20170228	GO_Central
RGD	1590969	Pcdh15	GO:0045494	RGD:1624291	ISO	RGD:1353280	P	protocadherin related 15		gene	NCBITaxon:10116	20160512	RGD
RGD	727869	Opn5	GO:0005502	RGD:1624291	ISO	RGD:737573	F	opsin 5		gene	NCBITaxon:10116	20200507	RGD
RGD	727869	Opn5	GO:0005502	RGD:1624291	ISO	RGD:737574	F	opsin 5		gene	NCBITaxon:10116	20200521	RGD
RGD	1560172	Nphp4	GO:0045494	RGD:1624291	ISO	RGD:1621253	P	nephrocystin 4		gene	NCBITaxon:10116	20160512	RGD
RGD	1560172	Nphp4	GO:0060041	RGD:1624291	ISO	RGD:1621253	P	nephrocystin 4		gene	NCBITaxon:10116	20160512	RGD
RGD	1560136	Rpgr	GO:0060042	RGD:1624291	ISO	RGD:1557212	P	retinitis pigmentosa GTPase regulator		gene	NCBITaxon:10116	20160512	RGD
RGD	1305197	Nrl	GO:0000978	RGD:1624291	ISO	RGD:1313083	F	neural retina leucine zipper		gene	NCBITaxon:10116	20200618	RGD
RGD	1305197	Nrl	GO:0001228	RGD:1624291	ISO	RGD:1313083	F	neural retina leucine zipper		gene	NCBITaxon:10116	20200618	RGD
RGD	1305197	Nrl	GO:0003700	RGD:1624291	ISO	RGD:1313084	F	neural retina leucine zipper		gene	NCBITaxon:10116	20180228	RGD
RGD	1305197	Nrl	GO:0005634	RGD:1624291	ISO	RGD:1313083	C	neural retina leucine zipper		gene	NCBITaxon:10116	20180228	RGD
RGD	1305197	Nrl	GO:0005654	GO_REF:0000052|RGD:1624291	ISO	RGD:1313083	C	neural retina leucine zipper		gene	NCBITaxon:10116	20170119	RGD
RGD	1305197	Nrl	GO:0005654	GO_REF:0000107|RGD:1600115	IEA	UniProtKB:P54845|ensembl:ENSP00000454062	C	neural retina leucine zipper		gene	NCBITaxon:10116	20200510	Ensembl
RGD	1305197	Nrl	GO:0005737	RGD:1624291	ISO	RGD:1313083	C	neural retina leucine zipper		gene	NCBITaxon:10116	20180123	RGD
RGD	1305197	Nrl	GO:0005829	GO_REF:0000052|RGD:1624291	ISO	RGD:1313083	C	neural retina leucine zipper		gene	NCBITaxon:10116	20170119	RGD
RGD	1305197	Nrl	GO:0005829	GO_REF:0000107|RGD:1600115	IEA	UniProtKB:P54845|ensembl:ENSP00000454062	C	neural retina leucine zipper		gene	NCBITaxon:10116	20200510	Ensembl
RGD	1305197	Nrl	GO:0006355	RGD:1624291	ISO	RGD:1313084	P	neural retina leucine zipper		gene	NCBITaxon:10116	20160512	RGD
RGD	1305197	Nrl	GO:0007468	RGD:1624291	ISO	RGD:1313084	P	neural retina leucine zipper		gene	NCBITaxon:10116	20160512	RGD
RGD	1305197	Nrl	GO:0043522	RGD:1624291	ISO	RGD:1313083	F	neural retina leucine zipper		gene	NCBITaxon:10116	20180123	RGD
RGD	1305197	Nrl	GO:0045872	RGD:1624291	ISO	RGD:1313084	P	neural retina leucine zipper		gene	NCBITaxon:10116	20160512	RGD
RGD	1305197	Nrl	GO:0045944	RGD:1624291	ISO	RGD:1313083	P	neural retina leucine zipper		gene	NCBITaxon:10116	20180228	RGD
RGD	1305197	Nrl	GO:0045944	RGD:1624291	ISO	RGD:1313084	P	neural retina leucine zipper		gene	NCBITaxon:10116	20180228	RGD
RGD	1305197	Nrl	GO:0046548	RGD:1624291	ISO	RGD:1313084	P	neural retina leucine zipper		gene	NCBITaxon:10116	20160512	RGD
RGD	1305197	Nrl	GO:1990837	RGD:1624291	ISO	RGD:1313083	F	neural retina leucine zipper		gene	NCBITaxon:10116	20200618	RGD
RGD	1305197	Nrl	GO:1990841	RGD:1624291	ISO	RGD:1313084	F	neural retina leucine zipper		gene	NCBITaxon:10116	20160512	RGD
RGD	1305197	Nrl	GO:0007468	PMID:21873635	IBA	MGI:MGI:102567|PANTHER:PTN000014717	P	neural retina leucine zipper		gene	NCBITaxon:10116	20170228	GO_Central
RGD	1305197	Nrl	GO:0043565	PMID:21873635	IBA	MGI:MGI:104555|MGI:MGI:96909|MGI:MGI:99951|PANTHER:PTN002561999|RGD:2982|UniProtKB:O15525|UniProtKB:O60675|UniProtKB:O75444|UniProtKB:P54845|UniProtKB:Q8NHW3|UniProtKB:Q9ULX9|ZFIN:ZDB-GENE-010605-3|ZFIN:ZDB-GENE-010605-4	F	neural retina leucine zipper		gene	NCBITaxon:10116	20180613	GO_Central
RGD	1305197	Nrl	GO:0046548	PMID:21873635	IBA	MGI:MGI:102567|PANTHER:PTN000014717	P	neural retina leucine zipper		gene	NCBITaxon:10116	20170228	GO_Central
RGD	1305197	Nrl	GO:0005634	PMID:21873635	IBA	FB:FBgn0000964|MGI:MGI:104555|MGI:MGI:2673307|MGI:MGI:96909|MGI:MGI:99951|PANTHER:PTN002561999|RGD:1562627|RGD:2982|RGD:3034|UniProtKB:P54845|UniProtKB:Q8NHW3	C	neural retina leucine zipper		gene	NCBITaxon:10116	20180613	GO_Central
RGD	1305197	Nrl	GO:0000978	PMID:21873635	IBA	MGI:MGI:104555|MGI:MGI:2673307|MGI:MGI:96911|PANTHER:PTN002561999|UniProtKB:P54845	F	neural retina leucine zipper		gene	NCBITaxon:10116	20180613	GO_Central
RGD	1305197	Nrl	GO:0003700	PMID:21873635	IBA	MGI:MGI:102567|MGI:MGI:96909|MGI:MGI:99951|PANTHER:PTN002561999|RGD:2982|RGD:3034	F	neural retina leucine zipper		gene	NCBITaxon:10116	20180613	GO_Central
RGD	1305193	Cyp2w1	GO:0005503	RGD:1624291	ISO	RGD:1313076	F	cytochrome P450, family 2, subfamily w, polypeptide 1		gene	NCBITaxon:10116	20200229	RGD
RGD	1560115	Tgif2	GO:0060041	RGD:1624291	ISO	RGD:1557804	P	TGFB-induced factor homeobox 2		gene	NCBITaxon:10116	20160512	RGD
RGD	3960	Vhl	GO:0048877	RGD:1624291	ISO	RGD:11485	P	von Hippel-Lindau tumor suppressor		gene	NCBITaxon:10116	20160512	RGD
RGD	628886	Optn	GO:0003407	PMID:17687037|RGD:7800681	IEP		P	optineurin		gene	NCBITaxon:10116	20171005	RGD
RGD	628870	Slc17a8	GO:0003407	PMID:18482716|RGD:9999162	IEP		P	solute carrier family 17 member 8		gene	NCBITaxon:10116	20150408	RGD
RGD	1359328	Aox3	GO:0050250	GO_REF:0000024|RGD:1600115	ISS	UniProtKB:O54754	F	aldehyde oxidase 3		gene	NCBITaxon:10116	20180127	UniProt
RGD	708482	Dhrs4	GO:0001758	RGD:1624291	ISO	RGD:732150	F	dehydrogenase/reductase 4		gene	NCBITaxon:10116	20160512	RGD
RGD	708482	Dhrs4	GO:0042574	RGD:1624291	ISO	RGD:732150	P	dehydrogenase/reductase 4		gene	NCBITaxon:10116	20160512	RGD
RGD	1560748	Bbs10	GO:0045494	RGD:1624291	ISO	RGD:1605944	P	Bardet-Biedl syndrome 10		gene	NCBITaxon:10116	20160512	RGD
RGD	1310459	Pou4f3	GO:0031290	RGD:1624291	ISO	RGD:1321372	P	POU class 4 homeobox 3		gene	NCBITaxon:10116	20160512	RGD
RGD	1310456	Zfp513	GO:0060041	GO_REF:0000024|RGD:1600115	ISS	UniProtKB:Q8N8E2	P	zinc finger protein 513		gene	NCBITaxon:10116	20180127	UniProt
RGD	1310456	Zfp513	GO:0060041	RGD:1624291	ISO	RGD:1321365	P	zinc finger protein 513		gene	NCBITaxon:10116	20180123	RGD
RGD	1310434	Neurod4	GO:0035881	RGD:1624291	ISO	RGD:1321333	P	neuronal differentiation 4		gene	NCBITaxon:10116	20180123	RGD
RGD	1310434	Neurod4	GO:0060041	PMID:15345241|RGD:2311603	IEP		P	neuronal differentiation 4		gene	NCBITaxon:10116	20090724	RGD
RGD	620167	Robo2	GO:0031290	RGD:1624291	ISO	RGD:736257	P	roundabout guidance receptor 2		gene	NCBITaxon:10116	20180123	RGD
RGD	1592569	Rrm1	GO:0060041	PMID:2647502|RGD:5133699	IEP		P	ribonucleotide reductase catalytic subunit M1		gene	NCBITaxon:10116	20110624	RGD
RGD	1310397	Sdk2	GO:0010842	RGD:1624291	ISO	RGD:1558528	P	sidekick cell adhesion molecule 2		gene	NCBITaxon:10116	20180123	RGD
RGD	1310397	Sdk2	GO:0060219	RGD:1624291	ISO	RGD:1558528	P	sidekick cell adhesion molecule 2		gene	NCBITaxon:10116	20180123	RGD
RGD	1310397	Sdk2	GO:0010842	PMID:21873635	IBA	MGI:MGI:2443847|PANTHER:PTN002236006|UniProtKB:Q8AV57|UniProtKB:Q8AV58	P	sidekick cell adhesion molecule 2		gene	NCBITaxon:10116	20180817	GO_Central
RGD	3425	Psen1	GO:0003407	PMID:12401445|RGD:729595	IEP		P	presenilin 1		gene	NCBITaxon:10116	20150218	RGD
RGD	3535	Rarb	GO:0003406	RGD:1624291	ISO	RGD:11217	P	retinoic acid receptor, beta		gene	NCBITaxon:10116	20160512	RGD
RGD	3535	Rarb	GO:0060041	RGD:1624291	ISO	RGD:11217	P	retinoic acid receptor, beta		gene	NCBITaxon:10116	20160512	RGD
RGD	3543	Rbp1	GO:0016918	GO_REF:0000043|RGD:1600115	IEA	UniProtKB-KW:KW-0845	F	retinol binding protein 1		gene	NCBITaxon:10116	20200510	UniProt
RGD	3544	Rbp2	GO:0016918	GO_REF:0000043|RGD:1600115	IEA	UniProtKB-KW:KW-0845	F	retinol binding protein 2		gene	NCBITaxon:10116	20200510	UniProt
RGD	3546	Rbp4	GO:0016918	GO_REF:0000043|RGD:1600115	IEA	UniProtKB-KW:KW-0845	F	retinol binding protein 4		gene	NCBITaxon:10116	20200510	UniProt
RGD	3546	Rbp4	GO:0042574	RGD:1624291	ISO	RGD:735252	P	retinol binding protein 4		gene	NCBITaxon:10116	20160512	RGD
RGD	3546	Rbp4	GO:0060041	RGD:1624291	ISO	RGD:735252	P	retinol binding protein 4		gene	NCBITaxon:10116	20160512	RGD
RGD	3546	Rbp4	GO:0060059	RGD:1624291	ISO	RGD:735252	P	retinol binding protein 4		gene	NCBITaxon:10116	20160512	RGD
RGD	1310218	Xrn2	GO:0060041	PMID:23700402|RGD:11041783	IEP		P	5'-3' exoribonuclease 2		gene	NCBITaxon:10116	20160329	RGD
RGD	3573	Rho	GO:0005502	GO_REF:0000024|RGD:1600115	ISS	UniProtKB:P02699	F	rhodopsin		gene	NCBITaxon:10116	20180127	UniProt
RGD	3573	Rho	GO:0016918	PMID:2525480|RGD:6893558	IDA		F	rhodopsin		gene	NCBITaxon:10116	20070426	RGD
RGD	3573	Rho	GO:0016918	PMID:8814134|RGD:6893595	IDA		F	rhodopsin		gene	NCBITaxon:10116	20120911	RGD
RGD	3573	Rho	GO:0045494	GO_REF:0000107|RGD:1600115	IEA	UniProtKB:P15409|ensembl:ENSMUSP00000032471	P	rhodopsin		gene	NCBITaxon:10116	20200510	Ensembl
RGD	3573	Rho	GO:0045494	RGD:1624291	ISO	RGD:11239	P	rhodopsin		gene	NCBITaxon:10116	20160512	RGD
RGD	3573	Rho	GO:0060041	GO_REF:0000107|RGD:1600115	IEA	UniProtKB:P15409|ensembl:ENSMUSP00000032471	P	rhodopsin		gene	NCBITaxon:10116	20200510	Ensembl
RGD	3573	Rho	GO:0060041	RGD:1624291	ISO	RGD:11239	P	rhodopsin		gene	NCBITaxon:10116	20160512	RGD
RGD	1305535	Arl6	GO:0010842	RGD:1624291	ISO	RGD:1313619	P	ADP-ribosylation factor like GTPase 6		gene	NCBITaxon:10116	20180228	RGD
RGD	1305508	Dhrs13	GO:0042574	PMID:21873635	IBA	PANTHER:PTN002534708|UniProtKB:Q8NBN7	P	dehydrogenase/reductase 13		gene	NCBITaxon:10116	20200207	GO_Central
RGD	1310174	Mfsd2a	GO:0003406	RGD:1624291	ISO	RGD:1615020	P	major facilitator superfamily domain containing 2A		gene	NCBITaxon:10116	20200317	RGD
RGD	1310174	Mfsd2a	GO:0060042	RGD:1624291	ISO	RGD:1615020	P	major facilitator superfamily domain containing 2A		gene	NCBITaxon:10116	20200317	RGD
RGD	1310174	Mfsd2a	GO:1990963	RGD:1624291	ISO	RGD:1615020	P	major facilitator superfamily domain containing 2A		gene	NCBITaxon:10116	20200317	RGD
RGD	1310155	Jchain	GO:0001895	PMID:23580065|RGD:9068941	ISO	RGD:1320892	P	joining chain of multimeric IgA and IgM		gene	NCBITaxon:10116	20200609	UniProtKB
RGD	1305451	Bhlhe22	GO:0060040	RGD:1624291	ISO	RGD:1313487	P	basic helix-loop-helix family, member e22		gene	NCBITaxon:10116	20160512	RGD
RGD	1305451	Bhlhe22	GO:0060042	RGD:1624291	ISO	RGD:1313487	P	basic helix-loop-helix family, member e22		gene	NCBITaxon:10116	20160512	RGD
RGD	1565999	Sdr16c5	GO:0042574	RGD:1624291	ISO	RGD:1604728	P	short chain dehydrogenase/reductase family 16C, member 5		gene	NCBITaxon:10116	20180228	RGD
RGD	1565999	Sdr16c5	GO:0042574	PMID:21873635	IBA	PANTHER:PTN000672245|UniProtKB:Q8N3Y7	P	short chain dehydrogenase/reductase family 16C, member 5		gene	NCBITaxon:10116	20170620	GO_Central
RGD	3211	Musk	GO:0060041	PMID:16899069|RGD:2317091	IEP		P	muscle associated receptor tyrosine kinase		gene	NCBITaxon:10116	20100312	RGD
RGD	1310069	Iqcb1	GO:0045494	RGD:1624291	ISO	RGD:1320759	P	IQ motif containing B1		gene	NCBITaxon:10116	20160512	RGD
RGD	1642515	Rs1	GO:0010842	RGD:1624291	ISO	RGD:1557176	P	retinoschisin 1		gene	NCBITaxon:10116	20180228	RGD
RGD	1595863	Bmpr1b	GO:0031290	RGD:1624291	ISO	RGD:1558564	P	bone morphogenetic protein receptor type 1B		gene	NCBITaxon:10116	20160512	RGD
RGD	1595863	Bmpr1b	GO:0060041	RGD:1624291	ISO	RGD:1558564	P	bone morphogenetic protein receptor type 1B		gene	NCBITaxon:10116	20160512	RGD
RGD	1563968	Ndp	GO:0061299	RGD:1624291	ISO	RGD:1558298	P	norrin cystine knot growth factor NDP		gene	NCBITaxon:10116	20160512	RGD
RGD	1308948	Rrh	GO:0007601	GO_REF:0000002|RGD:1600115	IEA	InterPro:IPR002962|InterPro:IPR032972	P	retinal pigment epithelium derived rhodopsin homolog		gene	NCBITaxon:10116	20200510	InterPro
RGD	1308948	Rrh	GO:0009584	GO_REF:0000108|RGD:1600115	IEA	GO:0008020	P	retinal pigment epithelium derived rhodopsin homolog		gene	NCBITaxon:10116	20200510	GOC
RGD	1308948	Rrh	GO:0018298	GO_REF:0000043|RGD:1600115	IEA	UniProtKB-KW:KW-0157	P	retinal pigment epithelium derived rhodopsin homolog		gene	NCBITaxon:10116	20200510	UniProt
RGD	1308948	Rrh	GO:0001750	PMID:21873635	IBA	MGI:MGI:1097692|MGI:MGI:97914|MGI:MGI:99438|PANTHER:PTN000662150|RGD:3573|RGD:620978|RGD:621033|UniProtKB:F1P3Y2|UniProtKB:P02699|UniProtKB:P08100|UniProtKB:P22328|UniProtKB:P22329|ZFIN:ZDB-GENE-990415-271|ZFIN:ZDB-GENE-990604-40|ZFIN:ZDB-GENE-990604-42	C	retinal pigment epithelium derived rhodopsin homolog		gene	NCBITaxon:10116	20170228	GO_Central
RGD	1308948	Rrh	GO:0008020	PMID:21873635	IBA	FB:FBgn0002940|FB:FBgn0003249|FB:FBgn0003250|FB:FBgn0014019|FB:FBgn0019940|MGI:MGI:1353425|PANTHER:PTN000662115|RGD:621701|UniProtKB:D0E2W5|UniProtKB:F1NEY2|UniProtKB:F1NEY8|UniProtKB:P02699|UniProtKB:Q9UHM6	F	retinal pigment epithelium derived rhodopsin homolog		gene	NCBITaxon:10116	20170228	GO_Central
RGD	1308948	Rrh	GO:0005887	PMID:21873635	IBA	MGI:MGI:1929473|PANTHER:PTN000662115|UniProtKB:P02699	C	retinal pigment epithelium derived rhodopsin homolog		gene	NCBITaxon:10116	20170228	GO_Central
RGD	1308948	Rrh	GO:0071482	PMID:21873635	IBA	FB:FBgn0002940|MGI:MGI:1353425|MGI:MGI:2662912|MGI:MGI:97914|PANTHER:PTN000662115|RGD:3573|UniProtKB:D0E2W5|UniProtKB:F1NEY8|UniProtKB:P02699	P	retinal pigment epithelium derived rhodopsin homolog		gene	NCBITaxon:10116	20170228	GO_Central
RGD	1308948	Rrh	GO:0007186	PMID:21873635	IBA	MGI:MGI:1353425|MGI:MGI:2662912|PANTHER:PTN000662115|RGD:3573|UniProtKB:P02699|UniProtKB:P08100|UniProtKB:Q9Y2T5|ZFIN:ZDB-GENE-030314-2|ZFIN:ZDB-GENE-070111-2|ZFIN:ZDB-GENE-080415-3|ZFIN:ZDB-GENE-110622-1	P	retinal pigment epithelium derived rhodopsin homolog		gene	NCBITaxon:10116	20170228	GO_Central
RGD	1308948	Rrh	GO:0007602	PMID:21873635	IBA	FB:FBgn0002940|FB:FBgn0003249|FB:FBgn0003250|FB:FBgn0014019|FB:FBgn0019940|MGI:MGI:1353425|MGI:MGI:2662912|MGI:MGI:97914|PANTHER:PTN000662115|RGD:3573|RGD:621701|UniProtKB:D0E2W5|UniProtKB:F1NEY8|UniProtKB:F1R0P5|UniProtKB:F1RAF0|UniProtKB:P02699|UniProtKB:Q6U736|UniProtKB:Q9UHM6|ZFIN:ZDB-GENE-030616-402|ZFIN:ZDB-GENE-040724-51|ZFIN:ZDB-GENE-061201-30|ZFIN:ZDB-GENE-081105-91|ZFIN:ZDB-GENE-130530-850	P	retinal pigment epithelium derived rhodopsin homolog		gene	NCBITaxon:10116	20170228	GO_Central
RGD	1308941	Fscn2	GO:0005515	PMID:22948144|RGD:9686140	IPI	RGD:620689	F	fascin actin-bundling protein 2, retinal		gene	NCBITaxon:10116	20150203	RGD
RGD	1308941	Fscn2	GO:0005575	RGD:1598407	ND		C	fascin actin-bundling protein 2, retinal		gene	NCBITaxon:10116	20070108	RGD
RGD	1308941	Fscn2	GO:0008150	RGD:1598407	ND		P	fascin actin-bundling protein 2, retinal		gene	NCBITaxon:10116	20070108	RGD
RGD	1308941	Fscn2	GO:0015629	RGD:1624291	ISO	RGD:1319004	C	fascin actin-bundling protein 2, retinal		gene	NCBITaxon:10116	20180123	RGD
RGD	1308941	Fscn2	GO:0030674	GO_REF:0000002|RGD:1600115	IEA	InterPro:IPR022768|InterPro:IPR024703	F	fascin actin-bundling protein 2, retinal		gene	NCBITaxon:10116	20200510	InterPro
RGD	1308941	Fscn2	GO:0032420	RGD:1624291	ISO	RGD:1319004	C	fascin actin-bundling protein 2, retinal		gene	NCBITaxon:10116	20180123	RGD
RGD	1308941	Fscn2	GO:0042462	RGD:1624291	ISO	RGD:1319004	P	fascin actin-bundling protein 2, retinal		gene	NCBITaxon:10116	20160512	RGD
RGD	1308941	Fscn2	GO:0051017	PMID:21873635	IBA	FB:FBgn0003447|MGI:MGI:1352745|PANTHER:PTN000058080|RGD:1583309|UniProtKB:Q16658	P	fascin actin-bundling protein 2, retinal		gene	NCBITaxon:10116	20170228	GO_Central
RGD	1308941	Fscn2	GO:0015629	PMID:21873635	IBA	FB:FBgn0003447|MGI:MGI:2443337|PANTHER:PTN000058080|RGD:1583309|UniProtKB:Q16658	C	fascin actin-bundling protein 2, retinal		gene	NCBITaxon:10116	20200312	GO_Central
RGD	1308941	Fscn2	GO:0005737	PMID:21873635	IBA	FB:FBgn0003447|MGI:MGI:1890386|PANTHER:PTN000058080|RGD:1583309|UniProtKB:Q16658	C	fascin actin-bundling protein 2, retinal		gene	NCBITaxon:10116	20170228	GO_Central
RGD	1308941	Fscn2	GO:0007163	PMID:21873635	IBA	FB:FBgn0003447|PANTHER:PTN000058080	P	fascin actin-bundling protein 2, retinal		gene	NCBITaxon:10116	20170228	GO_Central
RGD	1308941	Fscn2	GO:0051015	PMID:21873635	IBA	MGI:MGI:1352745|PANTHER:PTN000058080|UniProtKB:Q16658	F	fascin actin-bundling protein 2, retinal		gene	NCBITaxon:10116	20170228	GO_Central
RGD	1308941	Fscn2	GO:0016477	PMID:21873635	IBA	FB:FBgn0003447|MGI:MGI:1352745|PANTHER:PTN000058080|UniProtKB:Q16658	P	fascin actin-bundling protein 2, retinal		gene	NCBITaxon:10116	20170228	GO_Central
RGD	1305364	Crocc	GO:0045494	RGD:1624291	ISO	RGD:1618151	P	ciliary rootlet coiled-coil, rootletin		gene	NCBITaxon:10116	20160512	RGD
RGD	71074	Lhx1	GO:0010842	GO_REF:0000024|RGD:1600115	ISS	UniProtKB:P63006	P	LIM homeobox 1		gene	NCBITaxon:10116	20180127	UniProt
RGD	71074	Lhx1	GO:0010842	RGD:1624291	ISO	RGD:732964	P	LIM homeobox 1		gene	NCBITaxon:10116	20180228	RGD
RGD	71074	Lhx1	GO:0035852	RGD:1624291	ISO	RGD:732964	P	LIM homeobox 1		gene	NCBITaxon:10116	20180123	RGD
RGD	71074	Lhx1	GO:0060041	RGD:1624291	ISO	RGD:732964	P	LIM homeobox 1		gene	NCBITaxon:10116	20180123	RGD
RGD	71074	Lhx1	GO:0060059	GO_REF:0000024|RGD:1600115	ISS	UniProtKB:P63006	P	LIM homeobox 1		gene	NCBITaxon:10116	20180127	UniProt
RGD	71074	Lhx1	GO:0060059	RGD:1624291	ISO	RGD:732964	P	LIM homeobox 1		gene	NCBITaxon:10116	20180123	RGD
RGD	1305395	Jmjd6	GO:0060041	RGD:1624291	ISO	RGD:1313401	P	jumonji domain containing 6, arginine demethylase and lysine hydroxylase		gene	NCBITaxon:10116	20160512	RGD
RGD	1565591	Ski	GO:0060041	RGD:1624291	ISO	RGD:1616826	P	SKI proto-oncogene		gene	NCBITaxon:10116	20160512	RGD
RGD	1565518	Irx5	GO:0060040	RGD:1624291	ISO	RGD:1320390	P	iroquois homeobox 5		gene	NCBITaxon:10116	20160512	RGD
RGD	1311509	Ercc6	GO:0045494	RGD:1624291	ISO	RGD:1622854	P	ERCC excision repair 6, chromatin remodeling factor		gene	NCBITaxon:10116	20160512	RGD
RGD	628662	Aldh1a3	GO:0001758	GO_REF:0000024|RGD:1600115	ISS	UniProtKB:P47895	F	aldehyde dehydrogenase 1 family, member A3		gene	NCBITaxon:10116	20180127	UniProt
RGD	628662	Aldh1a3	GO:0001758	GO_REF:0000107|RGD:1600115	IEA	UniProtKB:P47895|ensembl:ENSP00000332256	F	aldehyde dehydrogenase 1 family, member A3		gene	NCBITaxon:10116	20200510	Ensembl
RGD	628662	Aldh1a3	GO:0001758	RGD:1624291	ISO	RGD:1353558	F	aldehyde dehydrogenase 1 family, member A3		gene	NCBITaxon:10116	20180123	RGD
RGD	628662	Aldh1a3	GO:0042574	GO_REF:0000107|RGD:1600115	IEA	UniProtKB:P47895|ensembl:ENSP00000332256	P	aldehyde dehydrogenase 1 family, member A3		gene	NCBITaxon:10116	20200510	Ensembl
RGD	628662	Aldh1a3	GO:0042574	RGD:1624291	ISO	RGD:1353558	P	aldehyde dehydrogenase 1 family, member A3		gene	NCBITaxon:10116	20180123	RGD
RGD	621849	Isl2	GO:0031290	GO_REF:0000107|RGD:1600115	IEA	UniProtKB:Q9CXV0|ensembl:ENSMUSP00000034869	P	ISL LIM homeobox 2		gene	NCBITaxon:10116	20200510	Ensembl
RGD	621849	Isl2	GO:0031290	RGD:1624291	ISO	RGD:732663	P	ISL LIM homeobox 2		gene	NCBITaxon:10116	20160512	RGD
RGD	621809	Cngb1	GO:0001895	RGD:1624291	ISO	RGD:732601	P	cyclic nucleotide gated channel subunit beta 1		gene	NCBITaxon:10116	20180123	RGD
RGD	621809	Cngb1	GO:0045494	RGD:1624291	ISO	RGD:1553335	P	cyclic nucleotide gated channel subunit beta 1		gene	NCBITaxon:10116	20160512	RGD
RGD	628837	Actb	GO:0001895	PMID:23580065|RGD:9068941	ISO	RGD:735801	P	actin, beta		gene	NCBITaxon:10116	20200609	UniProtKB
RGD	628837	Actb	GO:0060041	PMID:22916200|RGD:9587758	IEP		P	actin, beta		gene	NCBITaxon:10116	20141016	RGD
